City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,el granada,37.5027,-122.4694,14.48,91,100,5.14,US,1718010885
210,ploneour-lanvern,47.9,-4.2833,15.18,77,100,5.66,FR,1718010886
211,tura,25.5198,90.2201,32.76,64,33,2.96,IN,1718010886
212,mossel bay,-34.1831,22.146,22.96,52,0,2.39,ZA,1718010886
213,dalai,45.5,124.3,30.44,32,12,6.9,CN,1718010886
214,ivdel',60.6911,60.4206,21.77,60,48,2.68,RU,1718010886
215,nagqu,31.5,92.0,13.04,44,100,5.49,CN,1718010886
216,ghanzi,-21.5667,21.7833,17.77,37,0,6.52,BW,1718010886
217,punta arenas,-53.15,-70.9167,1.06,93,75,1.54,CL,1718010651
218,rio grande,-32.035,-52.0986,16.64,96,4,3.14,BR,1718010886
219,rothenburg ob der tauber,49.3833,10.1833,19.56,53,20,3.09,DE,1718010886
220,krasnoshchekovo,51.6708,82.7289,25.96,73,98,2.45,RU,1718010886
221,carnarvon,-24.8667,113.6333,21.41,69,100,3.96,AU,1718010668
222,la'ie,21.6477,-157.9253,26.98,79,99,4.02,US,1718010886
223,hamilton,39.1834,-84.5333,16.24,82,0,2.57,US,1718010886
224,pisco,-13.7,-76.2167,14.84,92,25,1.81,PE,1718010841
225,praia da vitoria,38.7333,-27.0667,20.42,78,100,3.78,PT,1718010886
226,thunder bay,48.4001,-89.3168,4.78,72,4,2.57,CA,1718010782
227,kota kinabalu,5.9749,116.0724,30.99,70,20,1.03,MY,1718010809
228,okuta,9.2167,3.1833,27.9,67,100,4.44,NG,1718010886
229,wuwei,37.9281,102.6414,29.89,12,100,3.0,CN,1718010887
230,nguigmi,14.2495,13.1092,36.86,26,64,9.23,NE,1718010887
231,comodoro rivadavia,-45.8667,-67.5,6.69,87,86,2.58,AR,1718010887
232,vikulovo,56.8167,70.6107,17.25,94,100,5.03,RU,1718010887
233,antonina,-25.4286,-48.7119,22.07,76,32,1.19,BR,1718010887
234,kamyaran,34.7956,46.9355,32.73,15,62,10.84,IR,1718010887
235,badger,64.8,-147.5333,21.95,50,75,3.6,US,1718010887
236,salalah,17.0151,54.0924,33.05,75,40,7.72,OM,1718010887
237,sosnovo-ozerskoye,52.5249,111.5418,16.87,61,90,3.73,RU,1718010887
238,ciudad lazaro cardenas,17.9583,-102.2,25.43,77,100,1.21,MX,1718010882
239,san antonio,29.4241,-98.4936,25.18,91,0,2.57,US,1718010812
240,bantogon,6.5333,124.0333,28.33,82,93,3.58,PH,1718010887
241,harnai,30.1005,67.9374,37.57,9,6,8.73,PK,1718010887
242,fonte boa,-2.4959,-66.2662,22.63,99,90,1.11,BR,1718010887
243,balcarce,-37.8462,-58.2552,10.78,89,100,2.24,AR,1718010887
244,castillos,-34.1667,-53.8333,13.62,88,100,3.82,UY,1718010800
245,acajutla,13.5928,-89.8275,26.58,81,100,2.02,SV,1718010887
246,san ignacio de velasco,-16.3667,-60.95,16.83,64,0,1.79,BO,1718010888
247,alamogordo,32.8995,-105.9603,20.64,45,0,3.6,US,1718010663
248,ust-nera,64.5667,143.2,14.79,28,99,0.25,RU,1718010888
249,port lincoln,-34.7333,135.8667,17.23,54,100,2.0,AU,1718010888
250,puerto aysen,-45.4,-72.7,6.25,99,100,0.97,CL,1718010888
251,adre,13.4667,22.2,30.26,42,98,5.92,TD,1718010888
252,dukhan,25.4297,50.7858,34.44,46,0,3.51,QA,1718010888
253,ouallam,14.3188,2.0866,33.39,44,37,8.0,NE,1718010888
254,sinabang,2.4803,96.3801,30.32,66,91,2.05,ID,1718010888
255,lengshuijiang,27.6881,111.4294,24.19,91,100,1.14,CN,1718010888
256,jiangzi,28.95,89.6333,18.13,17,2,4.64,CN,1718010888
257,dudinka,69.4058,86.1778,7.04,69,43,2.68,RU,1718010612
258,murashi,59.3999,48.9615,21.21,35,36,3.3,RU,1718010888
259,grand falls-windsor,48.9332,-55.6649,10.84,95,88,2.18,CA,1718010888
260,qui nhon,13.7667,109.2333,31.05,70,100,4.9,VN,1718010724
261,zouerate,22.7187,-12.4521,26.77,36,5,5.05,MR,1718010888
262,selfoss,63.9331,-20.9971,11.14,58,0,2.24,IS,1718010888
263,kamennogorsk,60.9545,29.1339,14.19,65,90,5.87,RU,1718010888
264,sao gabriel da cachoeira,-0.1303,-67.0892,22.11,99,67,0.4,BR,1718010889
265,goias,-15.5807,-49.6362,15.87,69,97,1.2,BR,1718010737
266,cabo san lucas,22.8909,-109.9124,24.61,83,0,5.78,MX,1718010889
267,ascension,30.2169,-90.9001,25.6,94,0,0.0,US,1718010889
268,at-bashi,41.1702,75.8106,22.69,29,43,1.79,KG,1718010889
269,mahajanga,-15.7167,46.3167,28.79,46,9,4.89,MG,1718010889
270,utrik,11.2278,169.8474,28.32,81,61,8.9,MH,1718010889
271,ola,59.5833,151.2833,12.3,84,3,2.49,RU,1718010889
272,nantucket,41.2835,-70.0995,17.03,100,20,4.63,US,1718010745
273,khandyga,62.6667,135.6,15.55,68,100,1.72,RU,1718010889
274,mitu,1.1983,-70.1733,21.58,98,100,0.13,CO,1718010889
275,palma sola,-23.9634,-64.2987,14.33,67,88,1.69,AR,1718010889
276,ancud,-41.8697,-73.8203,10.49,92,100,6.7,CL,1718010889
277,san patricio,28.017,-97.5169,28.94,90,2,3.13,US,1718010889
278,nuku'alofa,-21.1333,-175.2,22.19,73,40,3.6,TO,1718010812
279,kuanda,56.3161,116.0806,20.59,39,52,1.54,RU,1718010890
280,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1718010890
281,kavaratti,10.5669,72.642,28.25,84,100,7.69,IN,1718010890
282,mili,6.0815,171.735,28.91,81,54,8.0,MH,1718010890
283,coahuayana de hidalgo,18.7,-103.6583,22.22,90,60,1.65,MX,1718010890
284,ambon,-3.6954,128.1814,27.15,95,75,2.06,ID,1718010890
285,carbonear,47.7332,-53.2148,12.56,95,100,4.14,CA,1718010749
286,sievi,63.9,24.5,12.75,63,98,3.92,FI,1718010890
287,weatherford,32.7593,-97.7972,24.56,85,100,1.34,US,1718010757
288,kasungu,-13.0333,33.4833,18.06,60,99,2.68,MW,1718010890
289,mount isa,-20.7333,139.5,17.87,39,5,1.54,AU,1718010890
290,mount pearl,47.5166,-52.7813,11.85,95,75,3.13,CA,1718010890
291,saldus,56.6636,22.4881,16.01,59,88,5.92,LV,1718010890
292,mount gambier,-37.8333,140.7667,14.15,65,100,5.61,AU,1718010890
293,malabar,-33.9667,151.25,13.4,74,0,3.6,AU,1718010890
294,khorinsk,52.1657,109.7726,21.5,53,95,3.61,RU,1718010891
295,moyynkum,44.2914,72.9469,37.12,15,46,4.8,KZ,1718010891
296,sao miguel do araguaia,-13.275,-50.1628,20.14,57,89,2.75,BR,1718010891
297,bela,25.9333,81.9833,47.2,7,0,5.15,IN,1718010891
298,aykhal,66.0,111.5,22.93,25,92,3.86,RU,1718010782
299,villamontes,-21.25,-63.5,15.26,74,19,1.45,BO,1718010891
300,guarapari,-20.6667,-40.4975,18.85,81,7,3.11,BR,1718010891
301,gisborne,-38.6533,178.0042,14.69,86,100,3.74,NZ,1718010891
302,bamboo flat,11.7,92.7167,28.05,83,100,3.09,IN,1718010891
303,la ronge,55.1001,-105.2842,6.84,86,100,2.04,CA,1718010891
304,katrineholm,58.9959,16.2072,13.18,67,100,6.13,SE,1718010891
305,ponoka,52.6768,-113.5815,6.05,83,100,2.62,CA,1718010891
306,marsa alam,25.0757,34.8918,33.2,38,0,8.04,EG,1718010891
307,fuerte olimpo,-21.0415,-57.8738,20.21,56,2,2.39,PY,1718010891
308,olyokminsk,60.3736,120.4264,23.87,36,76,1.05,RU,1718010891
309,la sarre,48.8002,-79.1996,1.73,96,100,5.64,CA,1718010891
310,old saybrook,41.2918,-72.3762,16.69,90,0,0.0,US,1718010891
311,revda,56.801,59.9303,20.03,65,64,5.24,RU,1718010892
312,volchikha,52.0333,80.3833,31.1,40,68,1.34,RU,1718010892
313,masterton,-40.9597,175.6575,11.6,96,100,0.75,NZ,1718010892
314,burabay,53.0838,70.3138,20.73,73,100,5.6,KZ,1718010892
315,abra pampa,-22.7205,-65.697,1.54,22,33,0.35,AR,1718010892
316,ceylanpinar,36.8472,40.05,37.1,15,78,5.1,TR,1718010892
317,dampit,-8.2116,112.7493,24.5,92,100,1.95,ID,1718010892
318,salinas,36.6777,-121.6555,14.35,91,100,5.14,US,1718010606
319,kotido,2.9806,34.1331,26.54,53,8,3.95,UG,1718010892
320,vila do maio,15.1333,-23.2167,24.44,80,100,6.81,CV,1718010892
321,fale old settlement,-9.3852,-171.2468,28.43,79,54,8.66,TK,1718010892
322,dunedin,-45.8742,170.5036,7.67,84,84,6.71,NZ,1718010892
323,charters towers,-20.1,146.2667,18.39,35,18,4.41,AU,1718010892
324,chillicothe,39.3331,-82.9824,15.03,93,40,0.0,US,1718010655
325,lenggries,47.6833,11.5667,15.83,97,100,0.82,DE,1718010893
326,muriti,-1.9833,32.9167,23.55,59,92,5.96,TZ,1718010893
327,oak park,41.885,-87.7845,13.09,85,100,4.63,US,1718010893
328,zaidpur,26.8333,81.3333,43.04,7,26,6.52,IN,1718010893
329,namsos,64.4662,11.4957,10.95,76,75,1.03,NO,1718010893
330,prado,-17.3411,-39.2208,24.47,61,100,1.8,BR,1718010893
331,maracacume,-2.0428,-45.9592,22.8,97,96,1.36,BR,1718010893
332,quellon,-43.1167,-73.6167,9.9,94,100,8.3,CL,1718010893
333,araci,-11.3333,-38.9667,20.64,94,95,1.19,BR,1718010893
334,pariaman,-0.619,100.12,32.03,69,61,2.5,ID,1718010893
335,weno,7.4515,151.8468,26.97,89,100,2.06,FM,1718010893
